field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
259,1433,4.91379043170299748e-02,4.91379043339363816e-02,1.69064068300528447e-11
260,1434,4.73625933661877552e-02,4.73625934067152116e-02,4.05274563908264440e-11
261,1435,4.55907167975291155e-02,4.55907168653966258e-02,6.78675102228076810e-11
262,1436,4.38203007165858596e-02,4.38203007937679953e-02,7.71821356826407623e-11
263,1437,4.20476138660096851e-02,4.20476139225624199e-02,5.65527347173855333e-11
264,1438,4.02771641839955313e-02,4.02771642068062430e-02,2.28107116528875054e-11
265,1439,3.85143150448831531e-02,3.85143150223147199e-02,-2.25684332333386806e-11
266,1440,3.67331601274788686e-02,3.67331600783740303e-02,-4.91048382511571901e-11
267,1441,3.49633887850993724e-02,3.49633887390632114e-02,-4.60361609944115457e-11
268,1442,3.31903318549360421e-02,3.31903318078952889e-02,-4.70407532371375225e-11
269,1443,3.14184079881434444e-02,3.14184079341231770e-02,-5.40202674259582238e-11
270,1444,2.96516948844362978e-02,2.96516948427717093e-02,-4.16645884460109528e-11
271,1445,2.78787420929206727e-02,2.78787420783673141e-02,-1.45533585182988645e-11
272,1446,2.61082136244784810e-02,2.61082136185950726e-02,-5.88340834384304401e-12
273,1447,2.43442910255283335e-02,2.43442910226901350e-02,-2.83819842628041386e-12
274,1448,2.25728347056113957e-02,2.25728347197164322e-02,1.41050365831674185e-11
275,1449,2.08010213670382603e-02,2.08010213925201130e-02,2.54818527389844007e-11
276,1450,1.90334391351086908e-02,1.90334391544566932e-02,1.93480023669145851e-11
277,1451,1.72651167761282802e-02,1.72651167713407105e-02,-4.78756964628068715e-12
278,1452,1.55023092446045039e-02,1.55023092148034135e-02,-2.98010904148382494e-11
279,1453,1.37430068934868248e-02,1.37430068790118480e-02,-1.44749767727603285e-11
280,1454,1.19813944360257999e-02,1.19813944567686830e-02,2.07428831056066798e-11
281,1455,1.02214875479213797e-02,1.02214875955676798e-02,4.76463000997906505e-11
282,1456,8.49010815775814998e-03,8.49010820658817333e-03,4.88300233580929444e-11
283,1457,6.76514340702589773e-03,6.76514342858094021e-03,2.15550424731425494e-11
284,1458,5.07868165690267444e-03,5.07868164506720607e-03,-1.18354683692478702e-11
285,1459,3.41910486521962475e-03,3.41910483982511186e-03,-2.53945128814159204e-11
286,1460,1.85839806976337654e-03,1.85839804680003177e-03,-2.29633447673682767e-11
287,1461,6.05442315612974755e-04,6.05442304892947459e-04,-1.07200272964069754e-11
288,1462,2.29389568532491345e-01,2.29389568532900989e-01,4.09644540511067135e-13
289,1463,2.29425837311996700e-01,2.29425837311563824e-01,-4.32875957301348535e-13
290,1464,2.29414391269740364e-01,2.29414391268208118e-01,-1.53224655186079417e-12
291,1465,2.29408745138706599e-01,2.29408745135382730e-01,-3.32386895784964054e-12
292,1466,2.29376710527138122e-01,2.29376710530115130e-01,2.97700752938112601e-12
293,1467,2.29312852879893003e-01,2.29312852877658568e-01,-2.23443485936059005e-12
294,1468,2.29042956650118507e-01,2.29042956646446277e-01,-3.67222918740139903e-12
295,1469,2.27327600123937157e-01,2.27327600123415435e-01,-5.21721554846976687e-13
296,1470,2.24977969436251951e-01,2.24977969423697632e-01,-1.25543186957344233e-11
297,1471,2.22383894179108033e-01,2.22383894168381835e-01,-1.07261977078110249e-11
298,1472,2.19727747914192001e-01,2.19727747907202786e-01,-6.98921476249836360e-12
299,1473,2.17069556994826524e-01,2.17069556986121209e-01,-8.70531424723708369e-12
300,1474,2.14427397278903142e-01,2.14427397268077025e-01,-1.08261177800272890e-11
301,1475,2.11794233459542763e-01,2.11794233452770653e-01,-6.77211065003291424e-12
