node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
148,7.49999999999999911e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00004025164747361e+02,3.00004025164747247e+02,-1.13686837721616030e-13
149,8.75000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00003722554320120e+02,3.00003722554320234e+02,1.13686837721616030e-13
150,-8.75000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
151,-7.49999999999999911e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
152,-6.24999999999999911e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
153,-5.00000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
154,-3.74999999999999956e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
155,-2.50000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
156,-1.25000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
157,0.00000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
158,1.25000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
159,2.50000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
160,3.74999999999999956e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
161,5.00000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
162,6.24999999999999911e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
163,7.49999999999999911e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
164,8.75000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
