cell_id,node_0,node_1,node_2,node_3,region_id,region_name
645,7255,843,2899,844,0,silica
646,7256,4088,7252,3685,0,silica
647,6863,7103,7106,7104,0,silica
648,7257,4060,3686,4061,0,silica
649,6886,6885,241,240,0,silica
650,7258,7259,7260,7235,0,silica
651,7261,4563,4643,4597,0,silica
652,7262,7263,7264,5157,0,silica
653,7265,2976,633,634,0,silica
654,7266,7267,7141,7268,0,silica
655,7269,7270,7271,7272,0,silica
656,7273,5088,5260,5091,0,silica
657,7274,7275,7276,7277,0,silica
658,7278,5343,5144,5147,0,silica
659,1330,7279,1429,7280,0,silica
660,7281,3051,718,717,0,silica
661,7282,3048,702,3084,0,silica
662,6825,3695,3693,3910,0,silica
663,7061,1545,4450,1544,0,silica
664,7283,3087,7284,7285,0,silica
665,7286,845,7287,846,0,silica
666,7288,7282,7289,844,0,silica
667,7290,5260,5147,5148,0,silica
668,7291,7292,7293,228,0,silica
669,6994,7294,6661,7014,0,silica
670,7295,7296,7297,7102,0,silica
671,7059,6761,2137,2138,0,silica
672,7094,7298,7299,7247,0,silica
673,7300,7190,7301,2136,0,silica
674,7237,7133,7236,7239,0,silica
675,7302,6700,6485,2278,0,silica
676,1534,1535,7294,7014,0,silica
677,7265,2976,775,3014,0,silica
678,7303,3099,707,3050,0,silica
679,7304,7305,6756,6758,0,silica
680,7306,6518,7307,6729,0,silica
681,7308,3684,7251,3682,0,silica
682,2276,7302,7309,6703,0,silica
683,6966,6940,7310,7311,0,silica
684,7312,7313,7314,7273,0,silica
685,7286,7288,3086,704,0,silica
686,7315,7316,7317,7318,0,silica
687,6484,356,6596,357,0,silica
688,7319,450,7320,449,0,silica
689,7321,7322,7323,7324,0,silica
690,7325,7326,7327,7328,0,silica
691,7329,1435,1336,3458,0,silica
692,7094,7299,7298,7330,0,silica
693,2757,7189,7161,345,0,silica
694,7331,7332,7333,708,0,silica
695,7334,7335,7336,7337,0,silica
696,7329,1436,3458,1337,0,silica
697,7338,7339,7340,2131,0,silica
698,7162,4603,7142,4661,0,silica
699,6176,4935,6121,5689,0,silica
700,7341,7342,7343,7245,0,silica
701,7344,7345,7346,7347,0,silica
702,7348,7349,7350,1149,0,silica
703,7351,7352,7353,577,0,silica
704,7354,7355,7356,7357,0,silica
705,7358,7336,7359,461,0,silica
706,7137,1432,1433,4183,0,silica
707,7360,7361,7362,7363,0,silica
708,7364,6567,6566,7365,0,silica
709,6486,7366,7367,7368,0,silica
710,7369,2766,7370,7371,0,silica
711,6580,2483,353,247,0,silica
712,7096,7238,7236,7372,0,silica
713,7244,7373,7374,7375,0,silica
714,7376,7377,6744,7378,0,silica
715,7092,7379,7128,7093,0,silica
716,7155,4592,4532,4587,0,silica
717,7248,6826,7138,7140,0,silica
718,7261,4563,4612,4643,0,silica
719,7096,7372,7097,7238,0,silica
720,7380,7381,7382,7383,0,silica
721,6412,6729,6728,6769,0,silica
722,6701,6712,6700,2211,0,silica
723,2757,7161,574,2735,0,silica
724,7226,7225,6759,7227,0,silica
725,7384,7385,7386,7387,0,silica
726,7388,7389,7390,7391,0,silica
727,6885,7392,241,347,0,silica
728,6549,358,6597,252,0,silica
729,7235,3680,3904,3682,0,silica
730,3678,7393,7394,4106,0,silica
731,7251,3681,7254,7395,0,silica
732,7131,7396,2628,238,0,silica
733,7397,559,2756,2778,0,silica
734,7398,7058,7399,7400,0,silica
735,7371,2766,581,2744,0,silica
